level_code,level_description,var_code,var_description
crop_code,Crop,611,PEACHES
crop_code,Crop,612,PLUM
crop_code,Crop,613,KIWI FRUIT
crop_code,Crop,614,CHIKU
crop_code,Crop,615,PAPAYA
crop_code,Crop,616,GUAVA
crop_code,Crop,617,ALMOND
crop_code,Crop,618,WALNUT
crop_code,Crop,619,CASHEWNUTS
crop_code,Crop,620,APRICOT
crop_code,Crop,621,JACK FRUIT
crop_code,Crop,622,LICHI
crop_code,Crop,623,PINEAPPLE
crop_code,Crop,624,WATERMELON
crop_code,Crop,625,MUSK MELON
crop_code,Crop,626,BREAD FRUITS
crop_code,Crop,627,BER
crop_code,Crop,628,BEL
crop_code,Crop,629,MULLBERRY CROP
crop_code,Crop,630,AONLA (AMLA)
crop_code,Crop,631,POMOGRANATE
crop_code,Crop,632,CUSTARD APPLE
crop_code,Crop,633,PASSION
crop_code,Crop,634,JAMUN
crop_code,Crop,635,PLANTAIN
crop_code,Crop,636,REMPUTAN
crop_code,Crop,637,SAHATOOT
crop_code,Crop,688,OTHER FRUITS
crop_code,Crop,701,POTATO
crop_code,Crop,702,TAPIOCA (CASSAVA)
crop_code,Crop,703,SWEET POTATO
crop_code,Crop,704,YAM
crop_code,Crop,705,ELEPHANT FOOT YAM
crop_code,Crop,706,COLOCASIA/ARUM
crop_code,Crop,707,OTHER TUBER CROP
crop_code,Crop,708,ONION
crop_code,Crop,709,CARROT
crop_code,Crop,710,RADDISH
crop_code,Crop,711,BEETROOT
crop_code,Crop,712,TURNIP (SHALGAM)
crop_code,Crop,713,TOMATO
crop_code,Crop,714,SPINACH
crop_code,Crop,715,AMARANTHS (CHAULAI)
crop_code,Crop,716,CABBAGE
crop_code,Crop,717,OTHER LEAFY VEGETABLE
crop_code,Crop,718,BRINJAL
crop_code,Crop,719,PEAS (VEGETABLE) (GREEN)
crop_code,Crop,720,LADY‰ÛªS FINGER (BHINDI)
crop_code,Crop,721,CAULIFLOWER
crop_code,Crop,722,CUCUMBER
crop_code,Crop,723,BOTTLE GUARD (LAUKI)
crop_code,Crop,724,PUMPKIN
crop_code,Crop,725,BITTER GUARD
crop_code,Crop,726,OTHER GUARDS
crop_code,Crop,727,VENCH (GUAR)
crop_code,Crop,728,BEANS (GREEN)
crop_code,Crop,729,DRUMSTICK
crop_code,Crop,730,GREEN CHILLIES
crop_code,Crop,731,RIDGE GOURD
crop_code,Crop,732,TINDA
crop_code,Crop,733,KOVAL (LITTLE GUARD)
crop_code,Crop,734,RAMDANA
crop_code,Crop,735,SNAKE GUARD
crop_code,Crop,788,OTHER VEGETABLES
crop_code,Crop,801,OTHER FOOD CROPS
crop_code,Crop,802,SAWAN
crop_code,Crop,1001,GROUNDNUT
crop_code,Crop,1002,CASTORSEED
crop_code,Crop,1003,SESAMUM (TIL)
crop_code,Crop,1004,RAPESEED & MUSTARD (TORIA/ TARAMIRA)
crop_code,Crop,1005,LINSEED
crop_code,Crop,1006,COCONUT
crop_code,Crop,1007,SUNFLOWER
crop_code,Crop,1008,SAFFLOWER
crop_code,Crop,1009,SOYABEAN
crop_code,Crop,1010,NIGERSEED
crop_code,Crop,1011,OIL PALM
crop_code,Crop,1088,OTHER OILSEEDS
crop_code,Crop,1101,COTTON
crop_code,Crop,1102,JUTE
crop_code,Crop,1103,MESTA
crop_code,Crop,1104,SUNHEMP
crop_code,Crop,1188,OTHER FIBRES
crop_code,Crop,1201,INDIGO
crop_code,Crop,1288,OTHER DYES & TAN. MATRLS
crop_code,Crop,1301,OPIUM
crop_code,Crop,1302,TOBACCO
crop_code,Crop,1388,OTHER DRUGS & NARCOTICS
crop_code,Crop,1401,GUAR
crop_code,Crop,1402,OATS
crop_code,Crop,1403,GREEN MANURES
crop_code,Crop,1404,CASUARINA
crop_code,Crop,1488,OTHER FODDER CROPS
crop_code,Crop,1501,TEA
crop_code,Crop,1502,COFFEE
crop_code,Crop,1503,RUBBER
crop_code,Crop,1588,OTHER PLANTATION CROPS
crop_code,Crop,1601,ORCHIDS
crop_code,Crop,1602,ROSE
crop_code,Crop,1603,GLADIOLUS
crop_code,Crop,1604,CARNATION
crop_code,Crop,1605,MERIGOLD
crop_code,Crop,1606,JASMINE
crop_code,Crop,1607,CRYSANTHEMUM
crop_code,Crop,1608,TUBROSE
crop_code,Crop,1609,GARBERA
crop_code,Crop,1610,GALARDIYA
crop_code,Crop,1611,ANTHURIUM (FLOWER)
crop_code,Crop,1612,THESPESIA
crop_code,Crop,1688,OTHER FLOWERS
crop_code,Crop,1701,ASGANDH
crop_code,Crop,1702,ISABGOL
crop_code,Crop,1703,SENA
crop_code,Crop,1704,MOOSLI
crop_code,Crop,1705,OTHER MEDICINAL PLANT
crop_code,Crop,1706,MEHANDI
crop_code,Crop,1707,ALLOVERA
crop_code,Crop,1708,BACOPAMONNIERI
crop_code,Crop,1711,LEMON GRASS
crop_code,Crop,1712,MINT
crop_code,Crop,1713,MENTHOL
crop_code,Crop,1714,EUCALYPTUS
crop_code,Crop,1715,OTHER AROMATIC PLANT
crop_code,Crop,1717,VANILA
crop_code,Crop,1718,SANDALWOOD
crop_code,Crop,1801,CANES
crop_code,Crop,1802,BAMBOOS
crop_code,Crop,1806,TEAK
crop_code,Crop,1807,SUBABUL
crop_code,Crop,1888,OTHER NON-FOOD CROPS
