code,description
wwo_no_drainage,percent of households having the waste water outlet connected to the no drainage
fc_firewood,percent of households use firewood for cooking
fc_crop_residue,percent of households use crop residue for cooking
fc_cowdung,percent of households use cow dung for cooking
fc_coal_types,"percent of households use coal, lignite, charcoal for cooking"
fc_kerosone,percent of households use kerosone for cooking
fc_lpg,percent of households use lpg/png for cooking
fc_electricity,percent of households use electricity for cooking
fc_biogas,percent of households use biogas for cooking
fc_other,percent of households use other sources for cooking
fc_no_cooking,percent of households who do not cook
kf_total,percent of households have kitchen facility
kf_inside_house,percent of households have  cooking inside in the house
kf_has_i_k,percent of households has kitchen inside  house
kf_no_i_k,percent of households does not have kitchen inside house
kf_outside_house,percent of households have  cooking outside in the house
kf_has_o_k,percent of households has kitchen outside  house
kf_no_o_k,percent of households does not have kitchen outside house
kf_no_cooking,percent of households who reports no cooking
hhs_bank_services,percent of households avail banking services
aa_radio,percent of households having availibility of radio
aa_tv,percent of households having availibility of TV
aa_comp_int,percent of households having availability of computer/laptop with internet
aa_comp_no_int,percent of households having availability of computer/laptop without internet
aa_ll,percent of households having landline only
aa_mobile,percent of households having mobile only
aa_ll_mobile,percent of households having both landline and mobile 
aa_bicycle,percent of households having bicycle
aa_scooter,percent of households having Scooter/ Motorcycle/Moped
aa_car,percent of households having car/ Jeep/Van
aa_tv_c_ph_car,"percent of households with Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car"
aa_none,percent of households have none of the assets 
hhs_cen_house_perm,percent of households having the cenus houses structure as permanent 
hhs_cen_house_semi_perm,percent of households having the cenus houses structure as semi-permanent 
hhs_cen_house_temp,percent of households having the cenus houses structure as temporary
hhs_cen_house_service,percent of households having the cenus houses structure as serviceable
hhs_cen_house_nonservice,percent of households having the cenus houses structure as non-serviceable
hhs_cen_house_unclassify,percent of households having the cenus houses structure as unclassifiable
